대학교 이름,가게 이름,가게 평균 평점,리뷰어 리뷰수,가게 방문수
서울시립대학교,컴투레스트,4.55,326.0,7
서울시립대학교,컴투레스트,4.55,514.0,1
서울시립대학교,컴투레스트,4.55,379.0,1
서울시립대학교,컴투레스트,4.55,97.0,1
서울시립대학교,컴투레스트,4.55,324.0,1
서울시립대학교,컴투레스트,4.55,19.0,1
서울시립대학교,컴투레스트,4.55,42.0,1
서울시립대학교,컴투레스트,4.55,48.0,1
서울시립대학교,컴투레스트,4.55,126.0,1
서울시립대학교,컴투레스트,4.55,695.0,1
서울시립대학교,컴투레스트,4.55,177.0,1
서울시립대학교,컴투레스트,4.55,450.0,3
서울시립대학교,컴투레스트,4.55,58.0,1
서울시립대학교,컴투레스트,4.55,70.0,1
서울시립대학교,컴투레스트,4.55,57.0,1
서울시립대학교,컴투레스트,4.55,58.0,2
서울시립대학교,컴투레스트,4.55,34.0,1
서울시립대학교,컴투레스트,4.55,44.0,1
서울시립대학교,컴투레스트,4.55,14.0,1
서울시립대학교,컴투레스트,4.55,15.0,1
서울시립대학교,컴투레스트,4.55,265.0,1
서울시립대학교,컴투레스트,4.55,389.0,2
서울시립대학교,컴투레스트,4.55,433.0,2
서울시립대학교,컴투레스트,4.55,7.0,1
서울시립대학교,컴투레스트,4.55,450.0,1
서울시립대학교,컴투레스트,4.55,6.0,1
서울시립대학교,컴투레스트,4.55,433.0,1
서울시립대학교,컴투레스트,4.55,47.0,1
서울시립대학교,컴투레스트,4.55,13.0,1
서울시립대학교,컴투레스트,4.55,24.0,1
서울시립대학교,컴투레스트,4.55,6.0,1
서울시립대학교,컴투레스트,4.55,22.0,1
서울시립대학교,컴투레스트,4.55,5.0,1
서울시립대학교,컴투레스트,4.55,7.0,1
서울시립대학교,컴투레스트,4.55,354.0,1
서울시립대학교,컴투레스트,4.55,13.0,1
서울시립대학교,컴투레스트,4.55,22.0,1
서울시립대학교,컴투레스트,4.55,70.0,2
서울시립대학교,컴투레스트,4.55,18.0,1
서울시립대학교,컴투레스트,4.55,25.0,1
서울시립대학교,컴투레스트,4.55,48.0,1
서울시립대학교,컴투레스트,4.55,160.0,1
서울시립대학교,컴투레스트,4.55,14.0,1
서울시립대학교,컴투레스트,4.55,9.0,1
서울시립대학교,컴투레스트,4.55,817.0,1
서울시립대학교,컴투레스트,4.55,413.0,2
서울시립대학교,컴투레스트,4.55,8.0,1
서울시립대학교,컴투레스트,4.55,10.0,1
서울시립대학교,컴투레스트,4.55,253.0,1
서울시립대학교,컴투레스트,4.55,413.0,1
서울시립대학교,메모아르,4.83,114.0,1
서울시립대학교,메모아르,4.83,167.0,1
서울시립대학교,메모아르,4.83,586.0,1
서울시립대학교,메모아르,4.83,535.0,1
서울시립대학교,메모아르,4.83,258.0,1
서울시립대학교,메모아르,4.83,16.0,2
서울시립대학교,메모아르,4.83,366.0,1
서울시립대학교,메모아르,4.83,535.0,1
서울시립대학교,메모아르,4.83,14.0,1
서울시립대학교,메모아르,4.83,131.0,1
서울시립대학교,메모아르,4.83,972.0,1
서울시립대학교,메모아르,4.83,33.0,1
서울시립대학교,메모아르,4.83,90.0,1
서울시립대학교,메모아르,4.83,10.0,1
서울시립대학교,메모아르,4.83,339.0,1
서울시립대학교,메모아르,4.83,400.0,1
서울시립대학교,메모아르,4.83,4.0,1
서울시립대학교,메모아르,4.83,340.0,1
서울시립대학교,메모아르,4.83,943.0,1
서울시립대학교,메모아르,4.83,20.0,1
서울시립대학교,메모아르,4.83,227.0,1
서울시립대학교,메모아르,4.83,68.0,1
서울시립대학교,메모아르,4.83,10.0,1
서울시립대학교,메모아르,4.83,43.0,2
서울시립대학교,메모아르,4.83,184.0,1
서울시립대학교,메모아르,4.83,758.0,1
서울시립대학교,메모아르,4.83,43.0,1
서울시립대학교,메모아르,4.83,333.0,1
서울시립대학교,메모아르,4.83,283.0,1
서울시립대학교,메모아르,4.83,14.0,1
서울시립대학교,메모아르,4.83,471.0,1
서울시립대학교,메모아르,4.83,779.0,1
서울시립대학교,메모아르,4.83,96.0,1
서울시립대학교,메모아르,4.83,471.0,2
서울시립대학교,메모아르,4.83,898.0,1
서울시립대학교,메모아르,4.83,80.0,1
서울시립대학교,메모아르,4.83,870.0,2
서울시립대학교,메모아르,4.83,900.0,1
서울시립대학교,메모아르,4.83,64.0,1
서울시립대학교,메모아르,4.83,907.0,2
서울시립대학교,메모아르,4.83,907.0,1
서울시립대학교,메모아르,4.83,7.0,1
서울시립대학교,메모아르,4.83,787.0,1
서울시립대학교,메모아르,4.83,514.0,1
서울시립대학교,메모아르,4.83,492.0,1
서울시립대학교,메모아르,4.83,560.0,1
서울시립대학교,메모아르,4.83,584.0,1
서울시립대학교,메모아르,4.83,308.0,1
서울시립대학교,메모아르,4.83,264.0,1
서울시립대학교,메모아르,4.83,802.0,1
서울시립대학교,메모아르,4.83,930.0,1
서울시립대학교,메모아르,4.83,277.0,1
서울시립대학교,메모아르,4.83,5.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,773.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,48.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,324.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,80.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,672.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,324.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,25.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,773.0,3
서울시립대학교,이문동커피집 크럼블로스터스,4.8,526.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,22.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,97.0,6
서울시립대학교,이문동커피집 크럼블로스터스,4.8,443.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,450.0,7
서울시립대학교,이문동커피집 크럼블로스터스,4.8,62.0,9
서울시립대학교,이문동커피집 크럼블로스터스,4.8,754.0,74
서울시립대학교,이문동커피집 크럼블로스터스,4.8,13.0,5
서울시립대학교,이문동커피집 크럼블로스터스,4.8,148.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,20.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,762.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,6.0,13
서울시립대학교,이문동커피집 크럼블로스터스,4.8,122.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,97.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,22.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,24.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,1.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,762.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,25.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,123.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,27.0,5
서울시립대학교,이문동커피집 크럼블로스터스,4.8,129.0,8
서울시립대학교,이문동커피집 크럼블로스터스,4.8,122.0,2
서울시립대학교,이문동커피집 크럼블로스터스,4.8,450.0,8
서울시립대학교,이문동커피집 크럼블로스터스,4.8,25.0,1
서울시립대학교,이문동커피집 크럼블로스터스,4.8,97.0,3
